TipoPersona,TipoDoc,Documento,Nombre/Razón Social,Email,Teléfono
HUMANA,DNI,28456905,Ana Navarro,ananavarro3658@yahoo.com,+54 11 5181-9600
HUMANA,DNI,11780798,Benjamín Castro,benjamíncastro8929@yahoo.com,+54 11 4379-4026
HUMANA,DNI,32588477,Sofía García,sofíagarcía1520@gmail.com,+54 11 4155-9407
HUMANA,DNI,15288191,Sebastián Torres,sebastiántorres5926@empresa.com,+54 11 5103-4131
HUMANA,DNI,34483473,Agustina Álvarez,agustinaálvarez6066@outlook.com,+54 11 4341-9283
HUMANA,DNI,47376264,Julieta Romero,julietaromero5314@yahoo.com,+54 11 5305-6413
JURIDICA,CUIT,30-52235350-3,Santa Fe Industrial Fundación,santafeindustrial8180@yahoo.com,+54 11 4724-2388
HUMANA,DNI,49160231,Lucía Acosta,lucíaacosta5931@contacto.ar,+54 11 5287-1012
HUMANA,DNI,38330675,Bruno Ramírez,brunoramírez6305@gmail.com,+54 11 4978-4801
HUMANA,DNI,27906335,Gonzalo Sosa,gonzalososa1828@donaciones.org,+54 11 4627-0482
